date,tweet,Subjectivity,Polarity
2023-02-23 23:59:32+00:00,dey hot,0.8500000000000001,0.25
2023-02-23 23:59:31+00:00,truth people need sprinkle little eye service kindnesses youre wont make impact needs otherwise package present well otherwise hmmm,0.25,-0.09375
2023-02-23 23:59:31+00:00,thabang fans like take easy nothing happen,0.8333333333333334,0.43333333333333335
2023-02-23 23:59:31+00:00,na beefing wan kill ooo guy,0.15000000000000002,-0.2
2023-02-23 23:59:31+00:00,tired bro,0.7,-0.4
2023-02-23 23:59:30+00:00,moral lesson story abeg,0.25,0.0
2023-02-23 23:59:30+00:00,agba coach crayway,0.0,0.0
2023-02-23 23:59:30+00:00,cant lose always win,0.4,0.8
2023-02-23 23:59:30+00:00,say,0.0,0.0
2023-02-23 23:59:30+00:00,u dont deserve beards,0.0,0.0
2023-02-23 23:59:30+00:00,girls irritating,0.8,-0.4
2023-02-23 23:59:29+00:00,announced maybe leaked mk coming year,0.0,0.0
2023-02-23 23:59:29+00:00,got political value sir,0.1,0.0
2023-02-23 23:59:29+00:00,u,0.0,0.0
2023-02-23 23:59:29+00:00,cant even buy airtime mtchew,0.0,0.0
2023-02-23 23:59:29+00:00,ikrit aint work way marketing koko,0.0,0.0
2023-02-23 23:59:28+00:00,song trashover hyped rubbish,0.0,0.0
2023-02-23 23:59:28+00:00,may even far sef,1.0,0.1
2023-02-23 23:59:28+00:00,need netflix login show max login apple music subscription available cheap money dm,0.55,0.4
2023-02-23 23:59:27+00:00,wtf lyrics,1.0,-0.5
2023-02-23 23:59:27+00:00,god bless repentance give good life watch better nigeria prayed thank sir god continue give wisdom guidance life long watch great nation build relax believe sir,0.5625,0.4875
2023-02-23 23:59:27+00:00,go let see turned l better pathetic defending,0.75,-0.25
2023-02-23 23:59:27+00:00,sht injured,0.0,0.0
2023-02-23 23:59:27+00:00,goan sleep ole,0.0,0.0
2023-02-23 23:59:27+00:00,special thanks,0.3857142857142857,0.2785714285714286
2023-02-23 23:59:26+00:00,stopping,0.0,0.0
2023-02-23 23:59:26+00:00,arsenal looked forward,0.0,0.0
